"","created_at","avg_sentiment","avg_weighted_sentiment","total_tweets","negative","positive","neutral","contestant"
"102",2022-06-12,1.46776771443793,107.145444858817,1877,523,1275,79,"Paige"
"103",2022-06-12,3,63.5,4,1,3,NA,"Remi"
"104",2022-06-12,1.584229390681,53.7849462365591,279,73,192,14,"Tasha"
"105",2022-06-13,0.914270500532481,16.5026624068158,1878,610,1190,78,"Afia"
"106",2022-06-13,1.29471032745592,4.44080604534005,1588,432,1097,59,"Amber"
"107",2022-06-13,0.260536398467433,3.55268199233716,1044,429,550,65,"Andrew"
"108",2022-06-13,2.21533516988062,35.5381083562902,2178,293,1814,71,"Dami"
"109",2022-06-13,0.9751442521083,39.5707944962273,2253,736,1421,96,"Davide"
"110",2022-06-13,0.835758835758836,22.6725571725572,962,332,584,46,"Ekin-Su"
"111",2022-06-13,0.27728285077951,13.427988121752,2694,1090,1487,117,"Gemma"
"112",2022-06-13,1.24358171571697,15.5666875391359,1597,430,1096,71,"Ikenna"
"113",2022-06-13,1.66425279789335,78.3996050032916,1519,319,1136,64,"Indiyah"
"114",2022-06-13,0.920724801812005,3.10305775764439,883,286,557,40,"Jacques"
"115",2022-06-13,-0.5,1.5,2,1,1,NA,"Jay"
"116",2022-06-13,1.68817204301075,18.3548387096774,93,19,73,1,"Liam"
"117",2022-06-13,-0.390962671905697,-36.2561886051081,2545,1316,1106,123,"Luca"
"118",2022-06-13,1.35790494665373,25.5771096023278,1031,280,711,40,"Paige"
"119",2022-06-13,2,1,4,NA,4,NA,"Remi"
"120",2022-06-13,0.579780755176614,33.7149817295981,821,310,459,52,"Tasha"
"121",2022-06-14,0.666666666666667,-13.2222222222222,18,7,10,1,"Afia"
"122",2022-06-14,1.24220183486239,-240.438532110092,545,165,367,13,"Amber"
"123",2022-06-14,0.511434511434511,69.8970893970894,962,384,540,38,"Andrew"
"124",2022-06-14,1.86061381074169,446.42199488491,782,200,561,21,"Dami"
"125",2022-06-14,-0.0936061381074169,48.972378516624,1955,949,920,86,"Davide"
"126",2022-06-14,-0.131305044035228,-109.759807846277,1249,619,577,53,"Ekin-Su"
"127",2022-06-14,-0.356193741963138,7.5049292756108,2333,1148,1037,148,"Gemma"
"128",2022-06-14,1.18942189421894,102.984009840098,813,248,523,42,"Ikenna"
"129",2022-06-14,1.17696335078534,254.834554973822,955,287,627,41,"Indiyah"
"130",2022-06-14,0.390386869871043,31.8264947245018,853,352,457,44,"Jacques"
"131",2022-06-14,1.21897810218978,17.9051094890511,137,37,98,2,"Jay"
"132",2022-06-14,-1.17391304347826,-79.7391304347826,23,11,11,1,"Liam"
"133",2022-06-14,-0.808103130755064,31.4957642725599,2715,1537,1036,142,"Luca"
"134",2022-06-14,2.64365256124722,208.812917594655,449,84,343,22,"Paige"
"135",2022-06-14,0.900497512437811,41.226368159204,402,144,247,11,"Remi"
"136",2022-06-14,0.663495838287753,58.0344827586207,841,317,496,28,"Tasha"
"137",2022-06-15,0.782608695652174,-1.78260869565217,23,9,13,1,"Afia"
"138",2022-06-15,1.3125,4.32291666666667,672,192,448,32,"Amber"
"139",2022-06-15,0.396198830409357,73.4195906432749,684,277,376,31,"Andrew"
"140",2022-06-15,1.75890410958904,179.868493150685,730,195,507,28,"Dami"
"141",2022-06-15,0.267157584683358,-306.964653902798,3395,1527,1710,158,"Davide"
"142",2022-06-15,0.869400630914826,216.213249211356,1585,574,943,68,"Ekin-Su"
"143",2022-06-15,0.293573943661972,-100.214348591549,2272,976,1181,115,"Gemma"
"144",2022-06-15,0.764014466546112,-25.24773960217,1106,409,635,62,"Ikenna"
"145",2022-06-15,1.21970233876683,93.9730687455705,1411,431,924,56,"Indiyah"
"146",2022-06-15,0.220913107511046,-46.3932253313697,679,304,344,31,"Jacques"
"147",2022-06-15,0.975573280159521,2.32053838484546,2006,683,1250,73,"Jay"
"148",2022-06-15,1.79411764705882,5.70588235294118,34,10,24,NA,"Liam"
"149",2022-06-15,-0.40707467714767,12.6238068500842,1781,916,761,104,"Luca"
"150",2022-06-15,2.23385012919897,223.751937984496,774,156,598,20,"Paige"
"151",2022-06-15,0.603690685413005,193.827328646749,2276,901,1268,107,"Remi"
"152",2022-06-15,0.612669683257919,66.6461538461539,1105,427,632,46,"Tasha"
"153",2022-06-16,0.866666666666667,2.2,15,4,9,2,"Afia"
"154",2022-06-16,1.7258064516129,12.1290322580645,62,14,44,4,"Amber"
"155",2022-06-16,1.04301075268817,1.67741935483871,93,32,59,2,"Andrew"
"156",2022-06-16,1.87323943661972,18.4225352112676,71,16,53,2,"Dami"
"157",2022-06-16,0.711111111111111,4.39555555555556,225,82,134,9,"Davide"
"158",2022-06-16,0.689119170984456,28.9222797927461,193,74,114,5,"Ekin-Su"
"159",2022-06-16,1.33673469387755,8.12755102040816,196,64,130,2,"Gemma"
"160",2022-06-16,2.25,16.4239130434783,92,24,65,3,"Ikenna"
"161",2022-06-16,1.9622641509434,13.8018867924528,106,31,69,6,"Indiyah"
"162",2022-06-16,0.723684210526316,-0.934210526315789,76,25,48,3,"Jacques"
"163",2022-06-16,1.29651162790698,11.8837209302326,172,55,111,6,"Jay"
"164",2022-06-16,1.78571428571429,-0.642857142857143,14,3,11,NA,"Liam"
"165",2022-06-16,0.418032786885246,-2.4672131147541,122,46,72,4,"Luca"
"166",2022-06-16,2.80281690140845,25.6901408450704,71,8,60,3,"Paige"
"167",2022-06-16,0.842465753424658,7.55479452054795,146,55,84,7,"Remi"
"168",2022-06-16,0.481481481481481,4.74814814814815,135,58,73,4,"Tasha"
